"19970526" 365 -99.9 999 -99.9 999 9999.9 999 999.9 999 999.9  999 999.9 999 9999.9 9999.9 26/05/1997"
""
" This file is SPACE DELIMITED for easy import into both spreadsheets and programs."
"The first line 19970526 contains dummy data and is provided to allow spreadsheets to sense the columns"
" To read into a spreadsheet select DELIMITED and SPACE."
" "
" "
"=========  The following essential information and notes should be kept in the data file =========="
" "
"The Data Drill system and data are copyright to the Queensland Government Department of Environment and Science"
"SILO data, with the exception of Patched Point data for Queensland, are supplied to the licencee only and may not be given, lent, or sold to any other party"
" "
"Notes:"
" * Data Drill for Lat, Long: -24.73 150.13 (DECIMAL DEGREES), 24 43'S 150 08'E "
" * Elevation: 182 m "
" * Extracted from SILO on 20210504 "
" * Please read the documentation on the Data Drill at http://www.longpaddock.qld.gov.au/silo"
" "
" * As evaporation is read at 9am, it has been shifted to the day before"
"    ie The evaporation measured on 20 April is in row for 19 April"
" * The 6 Source columns Smx, Smn, Srn, Sev, Ssl, Svp indicate the source of the data to their left, namely Max temp, Min temp, Rainfall, Evaporation, Radiation and Vapour Pressure respectively"
"   25 = interpolated daily observations,     75 = interpolated long term average"
" "
" * Relative Humidity has been calculated using 9am VP, T.Max and T.Min"
"   RHmaxT is estimated Relative Humidity at Temperature T.Max"
"   RHminT is estimated Relative Humidity at Temperature T.Min"
" * The accuracy of the data depends on many factors including date, location, and variable."
"   For consistency data is supplied using one decimal place, however it is not accurate to that precision."
"   Further information is available from http://www.longpaddock.qld.gov.au/silo"
"===================================================================================================="
" "
Date       Day T.Max Smx T.Min Smn Rain   Srn  Evap Sev Radn   Ssl VP    Svp RHmaxT RHminT Date2
(yyyymmdd)  ()  (oC)  ()  (oC)  ()   (mm)  ()  (mm)  () (MJ/m2) () (hPa)  ()   (%)    (%)  (ddmmyyyy)
20141101   305  35.3  25  18.5  25    0.0  25   8.8  25  27.6   25  18.4  25   32.2   86.4  1/11/2014
20141102   306  33.8  25  19.6  25    0.0  25   6.5  25  17.9   25  18.4  25   35.0   80.7  2/11/2014
20141103   307  27.0  25  19.9  25    2.0  25   3.7  25   9.6   25  19.2  25   53.9   82.7  3/11/2014
20141104   308  30.7  25  16.7  25   18.8  25   6.7  25  25.4   25  16.1  25   36.5   84.7  4/11/2014
20141105   309  31.9  25  13.2  25    0.0  25   6.9  25  26.3   25  13.9  25   29.4   91.7  5/11/2014
20141106   310  34.6  25  15.5  25    0.0  25   7.6  25  27.5   25  15.3  25   27.8   86.9  6/11/2014
20141107   311  37.0  25  16.8  25    0.0  25   8.0  25  27.0   25  18.2  25   29.0   95.2  7/11/2014
20141108   312  34.8  25  16.9  25    0.0  25   7.9  25  27.5   25  17.0  25   30.6   88.3  8/11/2014
20141109   313  35.6  25  17.2  25    0.0  25   8.8  25  28.1   25  15.8  25   27.2   80.6  9/11/2014
20141110   314  34.4  25  16.2  25    0.0  25   7.9  25  24.9   25  17.1  25   31.4   92.9 10/11/2014
20141111   315  35.0  25  16.7  25    0.0  25   8.1  25  27.5   25  17.9  25   31.8   94.2 11/11/2014
20141112   316  35.4  25  15.3  25    0.0  25   8.1  25  29.4   25  17.1  25   29.7   98.4 12/11/2014
20141113   317  36.1  25  16.7  25    0.0  25   9.5  25  29.4   25  17.8  25   29.8   93.7 13/11/2014
20141114   318  36.8  25  17.5  25    0.0  25   8.7  25  29.4   25  19.2  25   30.9   96.1 14/11/2014
20141115   319  39.1  25  18.4  25    0.0  25   9.6  25  29.6   25  19.9  25   28.3   94.1 15/11/2014
20141116   320  40.8  25  20.4  25    0.0  25  10.1  25  25.0   25  19.0  25   24.7   79.3 16/11/2014
20141117   321  39.9  25  21.3  25    0.0  25   9.4  25  26.9   25  15.6  25   21.3   61.6 17/11/2014
20141118   322  39.3  25  23.4  25    0.2  25   9.4  25  24.0   25  20.6  25   29.0   71.6 18/11/2014
20141119   323  36.4  25  23.1  25    0.0  25   8.2  25  18.8   25  23.1  25   38.0   81.8 19/11/2014
20141120   324  34.4  25  19.2  25    5.6  25   7.3  25  25.1   25  20.7  25   38.1   93.1 20/11/2014
20141121   325  36.4  25  22.6  25    0.0  25   8.2  25  25.3   25  21.8  25   35.9   79.5 21/11/2014
20141122   326  37.6  25  22.9  25    0.0  25   8.6  25  27.8   25  22.1  25   34.1   79.2 22/11/2014
20141123   327  36.9  25  22.4  25    0.0  25   8.9  25  27.5   25  22.1  25   35.4   81.6 23/11/2014
20141124   328  35.3  25  18.3  25    0.0  25   8.4  25  27.8   25  18.5  25   32.4   88.0 24/11/2014
20141125   329  36.8  25  18.4  25    0.0  25   8.5  25  27.0   25  19.4  25   31.3   91.7 25/11/2014
20141126   330  35.4  25  21.7  25    0.0  25   7.1  25  19.7   25  20.4  25   35.5   78.6 26/11/2014
20141127   331  34.8  25  18.5  25    1.7  25   7.3  25  21.5   25  20.1  25   36.1   94.4 27/11/2014
20141128   332  34.2  25  20.2  25    0.4  25   7.7  25  18.8   25  19.5  25   36.3   82.4 28/11/2014
20141129   333  32.2  25  20.2  25    1.2  25   6.4  25  21.0   25  18.4  25   38.3   77.8 29/11/2014
20141130   334  33.9  25  15.6  25    0.0  25   8.5  25  27.8   25  15.0  25   28.4   84.7 30/11/2014
20141201   335  34.2  25  15.9  25    0.0  25   7.6  25  25.8   25  14.9  25   27.7   82.5  1/12/2014
20141202   336  35.0  25  18.9  25    0.0  25   7.8  25  26.5   25  17.8  25   31.7   81.6  2/12/2014
20141203   337  35.4  25  16.8  25    0.0  25   8.1  25  24.4   25  17.9  25   31.1   93.6  3/12/2014
20141204   338  34.7  25  19.5  25    0.0  25   6.5  25  19.0   25  19.7  25   35.6   86.9  4/12/2014
20141205   339  35.7  25  19.8  25    0.0  25   6.4  25  20.0   25  20.4  25   34.9   88.4  5/12/2014
20141206   340  31.8  25  22.2  25    0.0  25   8.1  25  17.8   25  22.9  25   48.7   85.6  6/12/2014
20141207   341  36.7  25  19.8  25    0.0  25   9.3  25  21.0   25  24.2  25   39.2  100.0  7/12/2014
20141208   342  36.5  25  22.6  25    0.0  25   7.1  25  17.6   25  27.0  25   44.2   98.5  8/12/2014
20141209   343  35.1  25  19.8  25   25.9  25   6.1  25  24.1   25  25.9  25   45.8  100.0  9/12/2014
20141210   344  34.6  25  20.3  25   11.0  25   7.3  25  26.9   25  25.2  25   45.8  100.0 10/12/2014
20141211   345  34.5  25  23.0  25    0.0  25   9.5  25  18.3   25  26.8  25   49.0   95.4 11/12/2014
20141212   346  31.6  25  21.0  25   75.3  25  11.8  25  19.2   25  23.8  25   51.2   95.7 12/12/2014
20141213   347  23.8  25  18.8  25   25.4  25   2.8  25  10.1   25  21.4  25   72.6   98.7 13/12/2014
20141214   348  29.6  25  17.0  25   19.8  25   5.4  25  24.9   25  18.0  25   43.4   92.9 14/12/2014
20141215   349  33.0  25  17.3  25    0.0  25   7.0  25  29.7   25  20.9  25   41.5  100.0 15/12/2014
20141216   350  35.8  25  19.3  25    0.0  25   7.9  25  30.4   25  23.0  25   39.1  100.0 16/12/2014
20141217   351  36.8  25  22.2  25    0.0  25   8.9  25  26.1   25  22.1  25   35.6   82.6 17/12/2014
20141218   352  36.9  25  22.1  25    0.0  25   7.4  25  25.7   25  19.5  25   31.2   73.3 18/12/2014
20141219   353  31.1  25  20.6  25    3.3  25   7.0  25  19.1   25  22.8  25   50.5   94.0 19/12/2014
20141220   354  35.0  25  18.5  25    0.0  25   7.3  25  29.0   25  21.7  25   38.6  100.0 20/12/2014
20141221   355  32.9  25  20.4  25    0.0  25   8.1  25  26.0   25  20.6  25   41.2   86.0 21/12/2014
20141222   356  31.6  25  20.3  25    7.6  25   7.4  25  27.5   25  20.4  25   43.9   85.7 22/12/2014
20141223   357  32.1  25  16.7  25    0.2  25   7.4  25  26.7   25  18.3  25   38.3   96.3 23/12/2014
20141224   358  33.3  25  18.5  25    0.0  25   7.6  25  27.9   25  19.3  25   37.7   90.7 24/12/2014
20141225   359  33.5  25  19.4  25    0.0  25   6.4  25  26.2   25  20.7  25   40.0   91.9 25/12/2014
20141226   360  33.2  25  21.8  25    0.0  25   6.4  25  20.2   25  23.2  25   45.6   88.9 26/12/2014
20141227   361  32.4  25  20.8  25    0.0  25   4.9  25  20.2   25  24.1  25   49.6   98.1 27/12/2014
20141228   362  31.3  25  20.8  25    0.0  25   4.2  25  16.7   25  24.0  25   52.5   97.7 28/12/2014
20141229   363  31.9  25  22.5  25    1.4  25   6.9  25  16.4   25  25.3  25   53.5   92.9 29/12/2014
20141230   364  34.4  25  21.5  25    6.1  25   5.6  25  24.6   25  28.2  25   51.8  100.0 30/12/2014
20141231   365  35.7  25  21.8  25    0.0  25   7.4  25  27.7   25  25.7  25   44.0   98.4 31/12/2014
20150101     1  34.3  25  22.4  25    1.2  25   5.9  25  24.9   25  25.4  25   47.0   93.8  1/01/2015
20150102     2  32.3  25  20.7  25    0.0  25   6.0  25  22.7   25  25.3  25   52.3  100.0  2/01/2015
20150103     3  31.2  25  21.5  25    0.0  25   6.3  25  17.6   25  23.4  25   51.5   91.3  3/01/2015
20150104     4  32.3  25  21.0  25    0.0  25   7.3  25  27.3   25  22.1  25   45.7   88.9  4/01/2015
20150105     5  30.9  25  19.5  25    0.1  25   5.6  25  12.2   25  21.4  25   47.9   94.5  5/01/2015
20150106     6  30.7  25  21.6  25    1.5  25   6.1  25  21.9   25  21.8  25   49.4   84.5  6/01/2015
20150107     7  31.8  25  18.7  25    0.0  25   6.8  25  26.9   25  20.3  25   43.2   94.2  7/01/2015
20150108     8  31.4  25  18.6  25    0.0  25   5.5  25  24.4   25  20.4  25   44.4   95.2  8/01/2015
20150109     9  32.4  25  18.0  25    0.0  25   7.0  25  26.4   25  20.4  25   41.9   98.9  9/01/2015
20150110    10  33.0  25  19.3  25    0.0  25   7.5  25  26.0   25  20.4  25   40.6   91.2 10/01/2015
20150111    11  33.8  25  20.9  25    0.0  25   8.1  25  28.2   25  21.4  25   40.7   86.6 11/01/2015
20150112    12  33.9  25  20.0  25    0.0  25   7.0  25  21.2   25  23.1  25   43.7   98.8 12/01/2015
20150113    13  34.8  25  22.1  25    0.0  25   5.5  25  22.2   25  22.4  25   40.3   84.2 13/01/2015
20150114    14  33.3  25  24.1  25    0.0  25   5.6  25  14.7   25  25.8  25   50.4   86.0 14/01/2015
20150115    15  33.9  25  23.3  25   27.7  25   5.9  25  20.3   25  29.1  25   55.0  100.0 15/01/2015
20150116    16  35.2  25  22.8  25    5.5  25   7.3  25  25.6   25  28.7  25   50.5  100.0 16/01/2015
