20170117    17  27.3  25  12.1  25    0.0  25   8.8  25  28.6   25  10.5  25   28.9   74.4 17/01/2017
20170118    18  31.1  25  11.6  25    0.0  25   7.9  25  28.4   25  11.7  25   25.9   85.7 18/01/2017
20170119    19  26.9  25  14.0  25    0.0  25   7.3  25  28.0   25  11.7  25   33.0   73.2 19/01/2017
20170120    20  30.5  25  10.2  25    0.0  25   8.3  25  28.6   25  10.4  25   23.8   83.6 20/01/2017
20170121    21  36.1  25  13.0  25    0.0  25   9.3  25  30.4   25  14.1  25   23.6   94.2 21/01/2017
20170122    22  30.4  25  14.9  25    0.0  25   8.2  25  26.8   25  14.3  25   32.9   84.5 22/01/2017
20170123    23  26.2  25   9.6  25    0.0  25   7.5  25  25.2   25  10.7  25   31.5   89.6 23/01/2017
20170124    24  31.0  25  10.1  25    0.0  25   8.3  25  31.4   25  10.4  25   23.2   84.2 24/01/2017
20170125    25  36.8  25  13.5  25    0.0  25  10.5  25  31.4   25  10.4  25   16.8   67.3 25/01/2017
20170126    26  39.3  25  16.2  25    0.0  25  10.4  25  31.0   25   6.9  25    9.7   37.5 26/01/2017
20170127    27  35.9  25  17.9  25    0.0  25  11.4  25  26.6   25  15.1  25   25.6   73.7 27/01/2017
20170128    28  39.9  25  14.5  25    0.0  25   8.5  25  28.7   25  13.9  25   18.9   84.2 28/01/2017
20170129    29  28.6  25  21.9  25    0.1  25   4.5  25  11.1   25  24.2  25   61.8   92.1 29/01/2017
20170130    30  21.2  25  15.1  25    0.0  25  15.9  25   8.4   25  13.4  25   53.2   78.1 30/01/2017
20170131    31  21.6  25  14.5  25    0.1  25   4.5  25   9.8   25  14.9  25   57.8   90.3 31/01/2017
20170201    32  29.5  25  14.7  25    0.4  25   5.4  25  23.3   25  15.2  25   36.9   90.9  1/02/2017
20170202    33  30.9  25  13.8  25    0.0  25   6.3  25  22.2   25  17.2  25   38.5  100.0  2/02/2017
20170203    34  36.1  25  16.5  25    0.0  25   7.9  25  28.8   25  21.3  25   35.7  100.0  3/02/2017
20170204    35  30.2  25  14.6  25    0.0  25   7.9  25  22.9   25  14.2  25   33.1   85.5  4/02/2017
20170205    36  26.4  25  14.8  25    0.0  25   7.4  25  25.1   25  11.3  25   32.8   67.2  5/02/2017
20170206    37  30.8  25  12.6  25    0.0  25   6.4  25  28.9   25  12.1  25   27.2   83.0  6/02/2017
20170207    38  29.5  25  17.1  25    0.0  25   6.0  25  23.2   25  19.2  25   46.6   98.5  7/02/2017
20170208    39  22.1  25  11.5  25    1.2  25   8.7  25  16.6   25  10.0  25   37.6   73.7  8/02/2017
20170209    40  14.7  25  11.8  25    0.7  25  17.3  25   9.4   25  12.2  25   73.0   88.2  9/02/2017
20170210    41  18.2  25  12.3  25   92.1  25   8.8  25   8.8   25  15.7  25   75.2  100.0 10/02/2017
20170211    42  17.9  25  13.8  25   47.9  25   2.3  25  13.9   25  17.0  25   82.9  100.0 11/02/2017
20170212    43  21.7  25  15.1  25   14.5  25   4.6  25  16.4   25  16.2  25   62.4   94.4 12/02/2017
20170213    44  30.5  25  16.4  25    0.1  25   3.1  25  21.6   25  18.5  25   42.4   99.2 13/02/2017
20170214    45  32.0  25  20.6  25    1.1  25   5.2  25  20.7   25  25.6  25   53.8  100.0 14/02/2017
20170215    46  24.1  25  16.2  25    0.5  25   5.0  25  16.3   25  17.2  25   57.3   93.5 15/02/2017
20170216    47  26.7  25  12.3  25    0.0  25   6.5  25  27.4   25  13.5  25   38.5   94.4 16/02/2017
20170217    48  26.8  25  12.9  25    0.0  25   7.0  25  27.4   25  13.0  25   36.9   87.4 17/02/2017
20170218    49  30.1  25  12.2  25    0.0  25   7.7  25  27.7   25  13.7  25   32.1   96.5 18/02/2017
20170219    50  35.3  25  15.5  25    0.0  25   7.1  25  27.5   25  11.3  25   19.8   64.2 19/02/2017
20170220    51  29.5  25  17.8  25    0.0  25   6.8  25  22.4   25  15.9  25   38.6   78.1 20/02/2017
20170221    52  21.3  25  12.5  25    0.6  25   6.1  25  19.4   25  11.6  25   45.8   80.1 21/02/2017
20170222    53  23.5  25   8.6  25    0.0  25   3.8  25  22.6   25  11.1  25   38.3   99.4 22/02/2017
20170223    54  29.0  25  12.9  25    0.0  25   5.8  25  27.3   25  14.7  25   36.7   98.9 23/02/2017
20170224    55  32.9  25  14.3  25    0.0  25   7.9  25  27.1   25  15.4  25   30.8   94.5 24/02/2017
20170225    56  35.2  25  16.3  25    0.0  25   7.5  25  27.3   25  10.2  25   17.9   55.1 25/02/2017
20170226    57  34.0  25  16.2  25    0.0  25   7.9  25  25.2   25  16.4  25   30.8   89.1 26/02/2017
20170227    58  32.1  25  14.9  25    0.0  25   6.4  25  22.5   25  15.0  25   31.4   88.6 27/02/2017
20170228    59  32.8  25  16.0  25    0.0  25   7.5  25  24.3   25  16.1  25   32.4   88.6 28/02/2017
20170301    60  35.6  25  15.8  25    0.0  25   7.7  25  24.4   25  17.4  25   29.9   97.0  1/03/2017
20170302    61  29.2  25  20.8  25    0.5  25   1.5  25   4.8   25  18.3  25   45.2   74.5  2/03/2017
20170303    62  36.7  25  18.3  25    0.6  25   8.1  25  22.2   25  16.8  25   27.2   79.9  3/03/2017
20170304    63  31.8  25  17.8  25    0.0  25   5.7  25  22.9   25  18.7  25   39.8   91.8  4/03/2017
20170305    64  34.4  25  16.5  25    0.0  25   6.9  25  23.9   25  16.9  25   31.1   90.1  5/03/2017
20170306    65  35.9  25  16.0  25    0.0  25   7.0  25  24.4   25  18.0  25   30.5   99.1  6/03/2017
20170307    66  33.0  25  17.0  25    0.0  25   6.9  25  23.9   25  19.2  25   38.2   99.1  7/03/2017
20170308    67  29.4  25  16.9  25    0.0  25   6.5  25  19.8   25  16.7  25   40.7   86.8  8/03/2017
20170309    68  25.9  25  15.8  25    0.2  25   4.0  25  16.7   25  17.3  25   51.8   96.4  9/03/2017
20170310    69  25.2  25  14.1  25    0.0  25   6.1  25  20.8   25  13.9  25   43.4   86.4 10/03/2017
20170311    70  25.8  25  10.8  25    0.0  25   6.6  25  21.6   25  12.3  25   37.0   95.0 11/03/2017
20170312    71  26.6  25  11.3  25    0.0  25   3.5  25   9.5   25  15.0  25   43.1  100.0 12/03/2017
20170313    72  25.6  25  17.5  25    9.4  25   6.4  25   9.9   25  18.6  25   56.7   93.1 13/03/2017
20170314    73  22.8  25  14.9  25    0.7  25   5.4  25  13.0   25  16.3  25   58.7   96.3 14/03/2017
20170315    74  22.1  25  12.2  25    1.5  25   5.0  25  21.1   25  11.2  25   42.1   78.9 15/03/2017
20170316    75  25.6  25   8.2  25    0.0  25   4.3  25  24.3   25  11.5  25   35.0  100.0 16/03/2017
20170317    76  31.6  25   9.4  25    0.0  25   5.3  25  23.0   25  13.4  25   28.8  100.0 17/03/2017
20170318    77  17.3  25  14.2  25    0.0  25   2.8  25  10.3   25  15.2  25   77.0   93.9 18/03/2017
20170319    78  20.8  25   9.1  25    0.0  25   4.9  25  20.9   25  10.5  25   42.8   90.9 19/03/2017
20170320    79  23.2  25   6.2  25    0.0  25   6.0  25  20.4   25   9.5  25   33.4  100.0 20/03/2017
20170321    80  20.6  25  12.2  25    0.0  25   4.9  25   9.5   25  11.0  25   45.4   77.5 21/03/2017
20170322    81  24.6  25  14.4  25   15.6  25   3.5  25  14.4   25  16.2  25   52.4   98.8 22/03/2017
20170323    82  23.1  25  15.0  25    0.2  25   3.6  25  11.7   25  16.2  25   57.3   95.1 23/03/2017
20170324    83  23.4  25  14.0  25    0.0  25   3.9  25  14.9   25  15.3  25   53.2   95.8 24/03/2017
20170325    84  27.1  25  14.0  25    0.0  25   4.9  25  16.8   25  14.3  25   39.9   89.5 25/03/2017
20170326    85  21.0  25  12.9  25    0.1  25   4.8  25  17.7   25  13.0  25   52.3   87.4 26/03/2017
20170327    86  21.9  25   5.5  25    0.0  25   3.8  25  21.8   25  10.4  25   39.6  100.0 27/03/2017
20170328    87  23.4  25   7.7  25    0.0  25   3.3  25  15.7   25  12.8  25   44.5  100.0 28/03/2017
20170329    88  20.8  25   8.5  25    0.0  25   4.4  25  20.4   25   8.8  25   35.8   79.3 29/03/2017
20170330    89  24.6  25   7.7  25    0.0  25   4.9  25  22.0   25   9.1  25   29.4   86.6 30/03/2017
20170331    90  25.5  25   8.5  25    0.0  25   5.8  25  21.7   25  10.9  25   33.4   98.3 31/03/2017
20170401    91  26.2  25  10.7  25    0.0  25   5.2  25  19.6   25  12.6  25   37.1   98.0  1/04/2017
20170402    92  27.2  25  11.7  25    0.0  25   4.5  25  20.7   25  10.9  25   30.2   79.3  2/04/2017
20170403    93  28.2  25   9.0  25    0.0  25   5.4  25  19.6   25  10.7  25   28.0   93.3  3/04/2017
20170404    94  26.7  25  11.4  25    0.0  25   4.2  25  20.6   25  13.9  25   39.7  100.0  4/04/2017
20170405    95  29.3  25  12.5  25    0.0  25   4.1  25  20.5   25  14.7  25   36.1  100.0  5/04/2017
20170406    96  24.0  25  13.1  25    0.0  25   4.2  25  16.2   25  14.6  25   48.9   96.9  6/04/2017
20170407    97  19.3  25  10.6  25    0.2  25   3.5  25  17.4   25   9.7  25   43.3   75.9  7/04/2017
20170408    98  21.3  25   4.1  25    0.0  25   2.9  25  18.4   25   9.8  25   38.7  100.0  8/04/2017
20170409    99  22.6  25   6.5  25    0.0  25   4.1  25  19.1   25  12.5  25   45.6  100.0  9/04/2017
20170410   100  25.9  25   6.3  25    0.0  25   3.6  25  19.0   25  11.4  25   34.1  100.0 10/04/2017
20170411   101  28.8  25   8.8  25    0.0  25   4.7  25  19.8   25  10.0  25   25.3   88.4 11/04/2017
20170412   102  23.5  25   6.5  25    0.0  25   3.4  25  14.5   25  12.6  25   43.5  100.0 12/04/2017
20170413   103  24.2  25  13.5  25    0.0  25   4.6  25  18.2   25  12.1  25   40.1   78.2 13/04/2017
20170414   104  28.3  25  11.1  25    0.0  25   2.7  25   9.4   25  13.9  25   36.1  100.0 14/04/2017
20170415   105  23.9  25  12.6  25    0.0  25   3.4  25  11.5   25  15.7  25   53.0  100.0 15/04/2017
20170416   106  22.7  25  13.8  25    0.0  25   3.2  25  12.0   25  14.4  25   52.2   91.3 16/04/2017
20170417   107  20.4  25  14.6  25    0.0  25   1.9  25  10.6   25  14.9  25   62.2   89.7 17/04/2017
20170418   108  21.0  25  14.8  25    0.0  25   2.7  25   9.0   25  15.5  25   62.4   92.1 18/04/2017
20170419   109  23.4  25  12.5  25    1.0  25   2.1  25  16.2   25  15.7  25   54.6  100.0 19/04/2017
20170420   110  25.8  25   9.0  25    0.0  25   3.3  25  17.3   25  14.6  25   44.0  100.0 20/04/2017
20170421   111  26.7  25  10.2  25    0.0  25   2.6  25  16.0   25  15.0  25   42.8  100.0 21/04/2017
20170422   112  24.4  25  14.9  25    0.0  25   3.2  25  11.9   25  16.5  25   54.0   97.4 22/04/2017
20170423   113  22.2  25  15.2  25    0.3  25   3.4  25  12.1   25  15.5  25   57.9   89.8 23/04/2017
20170424   114  23.0  25  12.0  25    0.0  25   2.9  25  12.1   25  14.0  25   49.9   99.9 24/04/2017
20170425   115  20.7  25   8.2  25    0.0  25   3.0  25  13.3   25  10.9  25   44.7  100.0 25/04/2017
20170426   116  22.1  25   7.6  25    0.0  25   1.4  25  15.8   25  12.7  25   47.8  100.0 26/04/2017
20170427   117  24.8  25   8.3  25    0.0  25   3.3  25  15.5   25  11.8  25   37.7  100.0 27/04/2017
20170428   118  24.9  25   6.7  25    0.0  25   3.7  25  16.4   25  10.6  25   33.7  100.0 28/04/2017
20170429   119  25.1  25   6.4  25    0.0  25   2.3  25  16.7   25  10.3  25   32.3  100.0 29/04/2017
20170430   120  22.5  25   7.2  25    0.0  25   2.5  25  14.9   25  14.7  25   54.0  100.0 30/04/2017
20170501   121  19.7  25   9.4  25    0.0  25   2.9  25  11.1   25   9.2  25   40.1   78.1  1/05/2017
20170502   122  22.4  25   6.3  25    0.0  25   2.1  25  12.9   25   9.8  25   36.2  100.0  2/05/2017
20170503   123  26.0  25   8.4  25    0.0  25   3.4  25  14.0   25   9.1  25   27.1   82.6  3/05/2017
20170504   124  24.5  25  11.7  25    0.0  25   2.3  25   9.3   25  15.8  25   51.4  100.0  4/05/2017
20170505   125  22.5  25  11.1  25    0.0  25   2.0  25  14.4   25  16.2  25   59.5  100.0  5/05/2017
20170506   126  23.4  25   9.4  25    0.0  25   2.2  25  14.7   25  14.5  25   50.4  100.0  6/05/2017
20170507   127  27.1  25   9.6  25    0.0  25   3.7  25  15.3   25  13.6  25   37.9  100.0  7/05/2017
20170508   128  28.2  25  10.3  25    0.0  25   2.6  25  13.3   25   8.8  25   23.0   70.3  8/05/2017
20170509   129  19.2  25  14.0  25    0.4  25   3.1  25   7.1   25  13.8  25   62.1   86.4  9/05/2017
20170510   130  18.7  25   5.0  25    0.0  25   2.0  25   8.1   25  10.1  25   46.9  100.0 10/05/2017
20170511   131  18.2  25   9.0  25    0.0  25   1.7  25  11.6   25  11.8  25   56.5  100.0 11/05/2017
20170512   132  18.4  25   6.0  25    0.0  25   1.8  25  10.6   25  11.2  25   52.9  100.0 12/05/2017
20170513   133  20.5  25   5.0  25    0.0  25   1.7  25  11.5   25  11.9  25   49.4  100.0 13/05/2017
20170514   134  22.5  25  11.5  25    0.0  25   2.8  25   8.1   25   9.9  25   36.3   73.0 14/05/2017
20170515   135  17.8  25  12.2  25    2.5  25   2.4  25   8.5   25  13.8  25   67.7   97.2 15/05/2017
20170516   136  18.1  25  10.1  25    1.6  25   2.2  25  10.3   25  12.7  25   61.2  100.0 16/05/2017
20170517   137  18.8  25   8.9  25    0.1  25   2.4  25  11.7   25  13.0  25   59.9  100.0 17/05/2017
20170518   138  21.9  25   7.1  25    0.0  25   1.6  25  13.2   25   9.7  25   36.9   96.2 18/05/2017
20170519   139  20.7  25  11.3  25   31.9  25   1.5  25   7.0   25  15.4  25   63.1  100.0 19/05/2017
20170520   140  14.2  25   5.7  25    6.0  25   2.8  25   4.6   25   9.2  25   56.8  100.0 20/05/2017
20170521   141  15.1  25   9.7  25    8.6  25   1.0  25   7.6   25  12.1  25   70.5  100.0 21/05/2017
20170522   142  15.3  25   3.7  25    0.0  25   1.6  25   9.9   25   9.5  25   54.7  100.0 22/05/2017
20170523   143  17.9  25   9.7  25    0.4  25   1.0  25   6.0   25  13.5  25   65.9  100.0 23/05/2017
20170524   144  18.8  25   9.7  25    0.0  25   1.6  25  10.4   25  13.7  25   63.2  100.0 24/05/2017
20170525   145  19.5  25   5.0  25    0.1  25   2.0  25  13.3   25  12.1  25   53.4  100.0 25/05/2017
20170526   146  16.5  25   8.7  25    0.4  25   2.0  25   8.6   25  11.6  25   61.8  100.0 26/05/2017
20170527   147  16.1  25   4.8  25    0.0  25   1.7  25   8.8   25  10.1  25   55.2  100.0 27/05/2017
20170528   148  15.2  25   4.1  25    0.0  25   1.6  25   8.4   25  10.2  25   59.1  100.0 28/05/2017
20170529   149  16.8  25   2.0  25    0.0  25   1.9  25  10.3   25   9.0  25   47.1  100.0 29/05/2017
20170530   150  21.3  25   4.0  25    0.0  25   1.8  25  10.6   25   9.3  25   36.7  100.0 30/05/2017
20170531   151  24.1  25   7.0  25    0.0  25   2.1  25  11.4   25   8.9  25   29.7   88.9 31/05/2017
20170601   152  22.7  25   6.4  25    0.0  25   1.8  25  11.5   25  10.3  25   37.3  100.0  1/06/2017
20170602   153  22.4  25   5.3  25    0.0  25   1.8  25  12.2   25  12.5  25   46.2  100.0  2/06/2017
20170603   154  19.9  25   7.4  25    0.0  25   1.0  25   6.6   25  14.8  25   63.7  100.0  3/06/2017
20170604   155  20.0  25   9.9  25    0.1  25   1.4  25  10.9   25  13.9  25   59.5  100.0  4/06/2017
20170605   156  22.6  25   7.9  25    0.1  25   2.0  25  12.3   25  13.2  25   48.2  100.0  5/06/2017
20170606   157  21.7  25   7.0  25    0.0  25   2.9  25  10.7   25  10.3  25   39.7  100.0  6/06/2017
20170607   158  19.1  25   4.5  25    0.0  25   2.1  25  10.6   25   9.5  25   43.0  100.0  7/06/2017
20170608   159  19.7  25   9.0  25    0.0  25   2.2  25  11.4   25  11.4  25   49.7   99.4  8/06/2017
20170609   160  20.7  25   3.2  25    0.0  25   3.6  25  12.4   25   6.6  25   27.0   85.9  9/06/2017
20170610   161  19.2  25   4.7  25    0.0  25   2.0  25   6.5   25   6.0  25   27.0   70.3 10/06/2017
20170611   162  20.8  25   3.5  25    0.0  25   1.3  25   7.8   25   6.7  25   27.3   85.4 11/06/2017
20170612   163  21.2  25   5.4  25    0.0  25   2.3  25  10.1   25   5.8  25   23.0   64.7 12/06/2017
20170613   164  20.8  25   3.0  25    0.0  25   2.1  25   9.7   25   6.7  25   27.3   88.5 13/06/2017
20170614   165  18.5  25  10.2  25    2.3  25   0.7  25   5.2   25  12.9  25   60.6  100.0 14/06/2017
20170615   166  17.0  25  11.5  25    0.5  25   0.9  25   8.3   25  13.5  25   69.7   99.6 15/06/2017
20170616   167  17.0  25   6.2  25    0.1  25   0.8  25  10.4   25  11.5  25   59.4  100.0 16/06/2017
20170617   168  18.2  25   4.1  25    0.0  25   2.0  25  10.3   25   9.8  25   46.9  100.0 17/06/2017
