"19970526" 365 -99.9 999 -99.9 999 9999.9 999 999.9 999 999.9  999 999.9 999 9999.9 9999.9 26/05/1997"
""
" This file is SPACE DELIMITED for easy import into both spreadsheets and programs."
"The first line 19970526 contains dummy data and is provided to allow spreadsheets to sense the columns"
" To read into a spreadsheet select DELIMITED and SPACE."
" "
" "
"=========  The following essential information and notes should be kept in the data file =========="
" "
"The Data Drill system and data are copyright to the Queensland Government Department of Environment and Science"
"SILO data, with the exception of Patched Point data for Queensland, are supplied to the licencee only and may not be given, lent, or sold to any other party"
" "
"Notes:"
" * Data Drill for Lat, Long: -36.15 145.56 (DECIMAL DEGREES), 36 09'S 145 33'E "
" * Elevation: 110 m "
" * Extracted from SILO on 20210504 "
" * Please read the documentation on the Data Drill at http://www.longpaddock.qld.gov.au/silo"
" "
" * As evaporation is read at 9am, it has been shifted to the day before"
"    ie The evaporation measured on 20 April is in row for 19 April"
" * The 6 Source columns Smx, Smn, Srn, Sev, Ssl, Svp indicate the source of the data to their left, namely Max temp, Min temp, Rainfall, Evaporation, Radiation and Vapour Pressure respectively"
"   25 = interpolated daily observations,     75 = interpolated long term average"
" "
" * Relative Humidity has been calculated using 9am VP, T.Max and T.Min"
"   RHmaxT is estimated Relative Humidity at Temperature T.Max"
"   RHminT is estimated Relative Humidity at Temperature T.Min"
" * The accuracy of the data depends on many factors including date, location, and variable."
"   For consistency data is supplied using one decimal place, however it is not accurate to that precision."
"   Further information is available from http://www.longpaddock.qld.gov.au/silo"
"===================================================================================================="
" "
Date       Day T.Max Smx T.Min Smn Rain   Srn  Evap Sev Radn   Ssl VP    Svp RHmaxT RHminT Date2
(yyyymmdd)  ()  (oC)  ()  (oC)  ()   (mm)  ()  (mm)  () (MJ/m2) () (hPa)  ()   (%)    (%)  (ddmmyyyy)
20171101   305  21.9  25   9.0  25    0.0  25   4.4  25  16.7   25  11.6  25   44.2  100.0  1/11/2017
20171102   306  23.0  25   8.1  25    0.0  25   4.6  25  16.7   25  11.6  25   41.3  100.0  2/11/2017
20171103   307  20.1  25  11.2  25    0.2  25   5.5  25  19.7   25  12.3  25   52.3   92.5  3/11/2017
20171104   308  20.2  25   5.1  25    0.0  25   6.0  25  28.0   25   7.4  25   31.3   84.3  4/11/2017
20171105   309  24.0  25   4.5  25    0.0  25   5.2  25  26.2   25   8.0  25   26.8   95.0  5/11/2017
20171106   310  22.4  25  11.1  25    0.0  25   5.6  25  20.7   25  11.6  25   42.8   87.8  6/11/2017
20171107   311  20.4  25   6.5  25    0.0  25   6.5  25  21.0   25   9.6  25   40.1   99.2  7/11/2017
20171108   312  25.2  25   5.6  25    0.0  25   5.2  25  29.2   25   7.9  25   24.7   86.9  8/11/2017
20171109   313  28.1  25   7.7  25    0.0  25   5.7  25  26.5   25  11.3  25   29.7  100.0  9/11/2017
20171110   314  30.0  25  10.5  25    0.0  25   5.4  25  22.9   25  12.1  25   28.5   95.4 10/11/2017
20171111   315  31.7  25  13.7  25    0.0  25   6.4  25  21.6   25  12.7  25   27.2   81.1 11/11/2017
20171112   316  31.9  25  11.9  25    0.0  25   6.8  25  27.0   25  13.3  25   28.1   95.5 12/11/2017
20171113   317  33.4  25  13.9  25    0.0  25   8.2  25  27.1   25  12.8  25   24.9   80.6 13/11/2017
20171114   318  33.3  25  15.4  25    0.0  25   8.3  25  26.5   25  13.1  25   25.6   74.9 14/11/2017
20171115   319  33.9  25  17.5  25    0.0  25   6.5  25  20.4   25  11.9  25   22.5   59.5 15/11/2017
20171116   320  20.4  25  16.8  25    0.9  25   2.5  25  11.3   25  18.8  25   78.5   98.3 16/11/2017
20171117   321  25.4  25  13.0  25   29.8  25   3.8  25  16.0   25  16.2  25   50.0  100.0 17/11/2017
20171118   322  27.2  25  15.0  25    0.1  25   4.4  25  19.9   25  16.4  25   45.5   96.2 18/11/2017
20171119   323  29.7  25  14.7  25    0.4  25   5.0  25  25.7   25  14.4  25   34.5   86.1 19/11/2017
20171120   324  31.1  25  14.8  25    0.0  25   7.1  25  28.2   25  13.3  25   29.4   79.1 20/11/2017
20171121   325  32.1  25  14.3  25    0.0  25   7.1  25  26.6   25  13.9  25   29.1   85.3 21/11/2017
20171122   326  32.2  25  15.0  25    0.0  25   7.5  25  28.2   25  12.4  25   25.8   72.8 22/11/2017
20171123   327  33.8  25  14.7  25    0.0  25   8.3  25  25.3   25  12.4  25   23.6   74.2 23/11/2017
20171124   328  34.6  25  18.7  25    0.0  25   6.2  25  18.4   25  12.6  25   22.9   58.5 24/11/2017
20171125   329  34.8  25  18.8  25    0.0  25   6.4  25  25.5   25  13.8  25   24.8   63.6 25/11/2017
20171126   330  29.3  25  19.6  25    0.2  25   5.5  25  23.8   25  16.6  25   40.7   72.8 26/11/2017
20171127   331  32.5  25  16.5  25   14.2  25   7.4  25  22.9   25  19.1  25   39.1  100.0 27/11/2017
20171128   332  34.3  25  14.7  25    0.0  25   7.4  25  26.7   25  18.0  25   33.3  100.0 28/11/2017
20171129   333  35.5  25  20.0  25    0.0  25   8.6  25  26.6   25  17.2  25   29.8   73.6 29/11/2017
20171130   334  35.2  25  20.8  25    0.0  25   8.8  25  25.2   25  18.4  25   32.4   74.9 30/11/2017
20171201   335  24.4  25  21.6  25    8.4  25   5.4  25  11.0   25  23.3  25   76.3   90.3  1/12/2017
20171202   336  18.9  25  15.3  25   49.6  25   2.8  25  12.8   25  17.5  25   80.2  100.0  2/12/2017
20171203   337  20.9  25  11.9  25    3.8  25   4.3  25  17.5   25  12.0  25   48.6   86.2  3/12/2017
20171204   338  22.3  25  10.2  25    1.3  25   5.3  25  16.6   25  10.5  25   39.0   84.4  4/12/2017
20171205   339  25.9  25  10.2  25    1.9  25   5.1  25  16.7   25  13.3  25   39.8  100.0  5/12/2017
20171206   340  27.4  25  12.7  25    0.0  25   5.7  25  24.5   25  14.5  25   39.7   98.8  6/12/2017
20171207   341  28.0  25  11.7  25    0.0  25   5.8  25  22.0   25  15.4  25   40.7  100.0  7/12/2017
20171208   342  23.1  25  11.3  25    0.0  25   6.1  25  27.6   25  11.2  25   39.6   83.7  8/12/2017
20171209   343  26.6  25   8.7  25    0.0  25   5.7  25  22.0   25  12.4  25   35.6  100.0  9/12/2017
20171210   344  30.0  25  13.3  25    0.0  25   6.9  25  29.2   25  15.1  25   35.6   98.9 10/12/2017
20171211   345  31.2  25  13.2  25    0.0  25   8.6  25  27.9   25  15.2  25   33.5  100.0 11/12/2017
20171212   346  33.4  25  12.3  25    0.0  25   7.6  25  27.6   25  14.5  25   28.2  100.0 12/12/2017
20171213   347  38.2  25  13.5  25    0.0  25   9.7  25  29.0   25  12.5  25   18.7   80.8 13/12/2017
20171214   348  32.7  25  22.7  25    0.0  25   6.8  25  11.8   25  14.9  25   30.1   54.0 14/12/2017
20171215   349  32.1  25  14.2  25    0.0  25   7.8  25  27.8   25  13.4  25   28.0   82.8 15/12/2017
20171216   350  34.0  25  15.1  25    0.0  25   7.9  25  26.2   25  15.1  25   28.4   88.0 16/12/2017
20171217   351  34.5  25  16.2  25    0.0  25   6.6  25  24.4   25  16.2  25   29.6   88.0 17/12/2017
20171218   352  35.6  25  17.0  25    0.0  25   6.5  25  18.3   25  19.8  25   34.1  100.0 18/12/2017
20171219   353  38.3  25  23.8  25    0.0  25   7.3  25  21.1   25  20.1  25   29.8   68.2 19/12/2017
20171220   354  27.6  25  16.9  25    7.8  25   7.6  25  25.3   25  15.2  25   41.2   79.0 20/12/2017
20171221   355  29.0  25  11.4  25    0.0  25   7.2  25  31.4   25  12.8  25   32.0   95.0 21/12/2017
20171222   356  31.5  25  12.9  25    0.0  25   6.5  25  24.9   25  15.0  25   32.5  100.0 22/12/2017
20171223   357  33.4  25  13.5  25    0.0  25   7.1  25  18.3   25  12.1  25   23.5   78.2 23/12/2017
20171224   358  28.7  25  19.1  25    0.0  25   8.9  25  24.9   25  15.0  25   38.1   67.9 24/12/2017
20171225   359  29.6  25  12.6  25    0.0  25   8.7  25  27.3   25   8.8  25   21.2   60.4 25/12/2017
20171226   360  32.3  25  13.9  25    0.0  25   7.3  25  29.7   25  12.6  25   26.1   79.4 26/12/2017
20171227   361  34.9  25  17.6  25    0.0  25   8.4  25  28.3   25  15.5  25   27.7   77.1 27/12/2017
20171228   362  35.9  25  22.1  25    0.0  25   6.1  25  18.9   25  17.1  25   28.9   64.3 28/12/2017
20171229   363  30.3  25  21.7  25    2.9  25   4.4  25  16.8   25  23.7  25   54.9   91.3 29/12/2017
20171230   364  26.8  25  17.1  25    0.2  25   7.4  25  23.6   25  16.8  25   47.7   86.2 30/12/2017
20171231   365  29.2  25  10.9  25    0.0  25   6.7  25  29.8   25  12.3  25   30.4   94.4 31/12/2017
20180101     1  31.9  25  13.9  25    0.0  25   8.1  25  29.5   25  15.4  25   32.6   97.0  1/01/2018
20180102     2  29.0  25  14.7  25    0.0  25   9.4  25  30.8   25  15.0  25   37.5   89.7  2/01/2018
20180103     3  26.8  25  13.2  25    0.0  25   7.6  25  26.8   25  11.7  25   33.2   77.2  3/01/2018
20180104     4  33.0  25  13.0  25    0.0  25   7.7  25  28.7   25  11.5  25   22.9   76.8  4/01/2018
20180105     5  36.2  25  15.5  25    0.0  25   8.1  25  29.1   25  17.0  25   28.3   96.6  5/01/2018
20180106     6  42.4  25  18.0  25    0.0  25  11.7  25  30.0   25  13.8  25   16.5   66.9  6/01/2018
20180107     7  38.6  25  19.2  25    0.0  25   8.6  25  20.7   25  15.0  25   21.9   67.5  7/01/2018
20180108     8  33.6  25  20.0  25    0.0  25   4.6  25  13.5   25  17.2  25   33.1   73.6  8/01/2018
20180109     9  29.8  25  16.7  25    0.6  25  10.1  25  24.3   25  18.0  25   42.9   94.7  9/01/2018
20180110    10  31.9  25  11.8  25    0.0  25   6.3  25  24.6   25  12.4  25   26.2   89.6 10/01/2018
20180111    11  35.8  25  15.7  25    0.0  25   6.7  25  23.4   25  15.4  25   26.2   86.4 11/01/2018
20180112    12  36.3  25  23.5  25    0.2  25   5.2  25  14.5   25  22.1  25   36.6   76.4 12/01/2018
20180113    13  25.8  25  16.7  25    1.1  25   5.8  25  18.1   25  14.8  25   44.6   77.9 13/01/2018
20180114    14  24.9  25  10.2  25    1.2  25   7.3  25  26.6   25  11.3  25   35.9   90.9 14/01/2018
20180115    15  29.5  25  12.3  25    0.0  25   7.4  25  19.8   25  13.0  25   31.5   90.9 15/01/2018
20180116    16  31.7  25  11.3  25    0.0  25   8.0  25  28.7   25  12.5  25   26.7   93.4 16/01/2018
