20170117    17  30.2  25  15.4  25    0.0  25  10.0  25  28.3   25  12.9  25   30.1   73.8 17/01/2017
20170118    18  32.8  25  14.6  25    0.0  25   8.8  25  28.0   25  14.0  25   28.1   84.3 18/01/2017
20170119    19  29.8  25  15.7  25    0.0  25  10.0  25  29.9   25  11.6  25   27.7   65.1 19/01/2017
20170120    20  31.8  25  13.2  25    0.0  25   8.3  25  29.2   25  12.6  25   26.8   83.1 20/01/2017
20170121    21  38.6  25  14.3  25    0.0  25   9.8  25  29.5   25  13.7  25   20.0   84.1 21/01/2017
20170122    22  34.8  25  17.7  25    0.0  25   8.7  25  29.1   25  16.6  25   29.8   82.0 22/01/2017
20170123    23  29.3  25  12.1  25    0.0  25   8.7  25  30.3   25  10.9  25   26.7   77.3 23/01/2017
20170124    24  34.2  25  13.6  25    0.0  25  10.2  25  30.8   25  11.3  25   21.0   72.6 24/01/2017
20170125    25  38.7  25  17.3  25    0.0  25  11.6  25  30.8   25  11.1  25   16.1   56.2 25/01/2017
20170126    26  40.5  25  17.5  25    0.0  25  11.7  25  31.2   25   8.4  25   11.1   42.0 26/01/2017
20170127    27  42.9  25  18.3  25    0.0  25  13.9  25  28.7   25  11.5  25   13.4   54.7 27/01/2017
20170128    28  44.0  25  17.6  25    0.0  25   8.2  25  28.3   25  14.9  25   16.4   74.1 28/01/2017
20170129    29  27.8  25  23.2  25   39.4  25   4.1  25   9.6   25  28.9  25   77.4  100.0 29/01/2017
20170130    30  18.1  25  16.0  25   17.8  25   9.6  25   9.2   25  17.7  25   85.3   97.4 30/01/2017
20170131    31  20.3  25  15.3  25   31.0  25   2.9  25   9.4   25  17.9  25   75.2  100.0 31/01/2017
20170201    32  25.7  25  16.2  25   20.6  25   5.1  25  21.6   25  19.8  25   60.0  100.0  1/02/2017
20170202    33  30.5  25  17.6  25    0.0  25   6.8  25  22.1   25  20.4  25   46.7  100.0  2/02/2017
20170203    34  37.2  25  19.8  25    0.0  25   8.4  25  27.9   25  23.8  25   37.5  100.0  3/02/2017
20170204    35  33.6  25  17.9  25    0.0  25   8.4  25  28.3   25  17.3  25   33.3   84.4  4/02/2017
20170205    36  28.1  25  16.7  25    0.0  25   8.0  25  26.4   25  15.5  25   40.8   81.6  5/02/2017
20170206    37  32.7  25  14.7  25    0.0  25   8.5  25  29.0   25  14.2  25   28.7   85.0  6/02/2017
20170207    38  32.3  25  20.7  25    4.2  25   7.2  25  22.0   25  22.3  25   46.1   91.4  7/02/2017
20170208    39  22.5  25  14.5  25   16.2  25   8.0  25  17.3   25  11.9  25   43.7   72.1  8/02/2017
20170209    40  17.1  25  11.6  25   16.7  25  11.2  25   8.2   25  14.3  25   73.4  100.0  9/02/2017
20170210    41  25.0  25  12.6  25   27.0  25   6.2  25   9.2   25  18.7  25   59.0  100.0 10/02/2017
20170211    42  21.9  25  16.6  25   14.5  25   3.7  25  15.2   25  20.5  25   78.0  100.0 11/02/2017
20170212    43  27.3  25  17.9  25    0.0  25   6.1  25  16.1   25  19.2  25   52.9   93.7 12/02/2017
20170213    44  33.2  25  19.7  25    0.0  25   6.5  25  21.7   25  22.7  25   44.6   99.0 13/02/2017
20170214    45  35.4  25  23.6  25    0.0  25   5.9  25  19.1   25  26.6  25   46.3   91.3 14/02/2017
20170215    46  30.9  25  20.7  25    0.0  25   6.7  25  20.6   25  20.3  25   45.4   83.2 15/02/2017
20170216    47  30.0  25  16.7  25    0.0  25   7.6  25  27.1   25  17.0  25   40.1   89.5 16/02/2017
20170217    48  29.9  25  13.9  25    0.0  25   8.4  25  28.3   25  14.4  25   34.1   90.7 17/02/2017
20170218    49  33.5  25  15.1  25    0.0  25   9.3  25  27.4   25  15.9  25   30.7   92.7 18/02/2017
20170219    50  37.1  25  18.7  25    0.0  25   8.1  25  27.3   25  13.6  25   21.6   63.1 19/02/2017
20170220    51  33.1  25  20.5  25    0.2  25   7.9  25  22.1   25  20.1  25   39.7   83.4 20/02/2017
20170221    52  24.0  25  13.1  25    0.0  25   7.0  25  23.0   25  14.7  25   49.3   97.6 21/02/2017
20170222    53  26.0  25   9.3  25    0.1  25   5.5  25  24.8   25  10.7  25   31.8   91.4 22/02/2017
20170223    54  31.8  25  11.8  25    0.0  25   8.2  25  27.4   25  13.4  25   28.5   96.9 23/02/2017
20170224    55  34.3  25  16.7  25    0.0  25  10.2  25  27.6   25  13.6  25   25.1   71.6 24/02/2017
20170225    56  36.8  25  17.8  25    0.0  25   8.6  25  27.5   25  11.2  25   18.0   55.0 25/02/2017
20170226    57  38.1  25  16.8  25    0.0  25   8.5  25  25.2   25  14.6  25   21.9   76.4 26/02/2017
20170227    58  35.5  25  17.9  25    0.0  25   7.8  25  25.0   25  18.8  25   32.5   91.7 27/02/2017
20170228    59  36.0  25  17.7  25    0.0  25   9.0  25  24.8   25  17.1  25   28.8   84.5 28/02/2017
20170301    60  39.2  25  20.7  25    0.0  25   8.8  25  24.1   25  19.4  25   27.4   79.5  1/03/2017
20170302    61  32.2  25  22.7  25    2.4  25   3.4  25   6.9   25  21.6  25   44.9   78.3  2/03/2017
20170303    62  39.1  25  20.4  25    0.9  25   9.6  25  24.0   25  18.3  25   26.0   76.4  3/03/2017
20170304    63  37.6  25  19.9  25    0.1  25   8.4  25  23.8   25  18.3  25   28.2   78.8  4/03/2017
20170305    64  38.7  25  17.8  25    0.1  25   9.5  25  24.6   25  17.8  25   25.9   87.4  5/03/2017
20170306    65  40.7  25  18.4  25    0.0  25   9.8  25  24.1   25  12.7  25   16.6   60.0  6/03/2017
20170307    66  38.3  25  17.1  25    0.8  25   9.2  25  23.7   25  15.7  25   23.3   80.6  7/03/2017
20170308    67  36.3  25  19.1  25    0.0  25   7.9  25  21.4   25  17.3  25   28.6   78.3  8/03/2017
20170309    68  34.6  25  17.1  25    0.0  25   6.6  25  20.8   25  18.7  25   34.0   96.0  9/03/2017
20170310    69  28.2  25  17.9  25    7.6  25   8.2  25  20.8   25  18.4  25   48.1   89.8 10/03/2017
20170311    70  29.8  25  13.2  25    0.0  25   8.8  25  21.4   25  12.9  25   30.8   85.1 11/03/2017
20170312    71  33.0  25  15.7  25    0.0  25   4.0  25   9.9   25  12.4  25   24.7   69.6 12/03/2017
20170313    72  27.7  25  18.6  25    8.9  25   7.0  25   9.9   25  19.3  25   52.0   90.1 13/03/2017
20170314    73  27.0  25  14.4  25    0.0  25   6.1  25  15.6   25  16.2  25   45.4   98.8 14/03/2017
20170315    74  24.7  25  11.8  25    0.1  25   6.2  25  23.1   25  11.2  25   36.0   81.0 15/03/2017
20170316    75  28.9  25  11.7  25    0.0  25   6.0  25  24.4   25  11.7  25   29.4   85.1 16/03/2017
20170317    76  34.8  25  11.1  25    0.0  25   7.0  25  22.9   25  11.9  25   21.4   90.1 17/03/2017
20170318    77  23.6  25  13.2  25    0.0  25   4.2  25  12.4   25  16.1  25   55.3  100.0 18/03/2017
20170319    78  23.1  25  13.1  25    0.2  25   6.8  25  22.0   25  12.1  25   42.8   80.3 19/03/2017
20170320    79  25.6  25   9.8  25    0.1  25   7.6  25  20.7   25  11.2  25   34.1   92.5 20/03/2017
20170321    80  20.8  25  15.5  25    0.0  25   5.2  25  12.3   25  11.2  25   45.6   63.6 21/03/2017
20170322    81  26.5  25  15.7  25   13.9  25   4.7  25  18.7   25  17.4  25   50.3   97.6 22/03/2017
20170323    82  25.7  25  13.8  25    0.0  25   4.3  25  12.9   25  17.3  25   52.4  100.0 23/03/2017
20170324    83  26.0  25  13.5  25    0.0  25   5.3  25  16.9   25  15.9  25   47.3  100.0 24/03/2017
20170325    84  29.9  25  14.1  25    0.0  25   4.8  25  17.3   25  15.7  25   37.2   97.6 25/03/2017
20170326    85  23.8  25  14.5  25    0.0  25   5.8  25  17.7   25  15.7  25   53.3   95.1 26/03/2017
20170327    86  24.6  25   6.3  25    0.0  25   4.9  25  21.8   25  10.3  25   33.3  100.0 27/03/2017
20170328    87  27.2  25   7.7  25    0.0  25   4.3  25  19.5   25  12.3  25   34.1  100.0 28/03/2017
20170329    88  23.6  25  11.3  25    0.0  25   7.0  25  20.9   25   9.2  25   31.6   68.8 29/03/2017
20170330    89  26.7  25  10.3  25    0.0  25   6.3  25  22.1   25   9.4  25   26.8   75.1 30/03/2017
20170331    90  28.5  25   8.5  25    0.0  25   7.4  25  22.1   25   9.4  25   24.2   84.8 31/03/2017
20170401    91  28.7  25  12.0  25    0.0  25   7.3  25  20.8   25  11.7  25   29.7   83.5  1/04/2017
20170402    92  29.9  25  13.1  25    0.0  25   6.4  25  21.5   25  10.7  25   25.4   71.0  2/04/2017
20170403    93  31.4  25  10.0  25    0.0  25   6.8  25  21.0   25  13.4  25   29.2  100.0  3/04/2017
20170404    94  30.5  25  13.0  25    0.0  25   6.0  25  20.9   25  14.8  25   33.9   98.9  4/04/2017
20170405    95  32.8  25  10.4  25    0.0  25   5.2  25  20.8   25  12.8  25   25.7  100.0  5/04/2017
20170406    96  30.0  25  12.7  25    0.0  25   6.3  25  16.4   25  11.1  25   26.2   75.6  6/04/2017
20170407    97  21.2  25  11.9  25    0.3  25   4.7  25  16.9   25  11.3  25   44.9   81.2  7/04/2017
20170408    98  23.0  25   7.0  25    0.0  25   4.4  25  18.4   25   9.9  25   35.3   98.9  8/04/2017
20170409    99  25.9  25   8.6  25    0.0  25   5.6  25  20.4   25  11.8  25   35.3  100.0  9/04/2017
20170410   100  27.4  25   7.7  25    0.0  25   5.4  25  20.2   25  10.5  25   28.8  100.0 10/04/2017
20170411   101  32.4  25   8.8  25    0.0  25   5.3  25  19.9   25  11.2  25   23.0   99.0 11/04/2017
20170412   102  25.9  25   8.6  25    0.0  25   5.0  25  17.5   25  12.9  25   38.6  100.0 12/04/2017
20170413   103  26.9  25  12.9  25    0.0  25   6.0  25  19.5   25  15.3  25   43.2  100.0 13/04/2017
20170414   104  28.4  25  15.3  25    0.0  25   3.6  25   7.8   25  14.6  25   37.7   84.0 14/04/2017
20170415   105  28.4  25  12.4  25    0.1  25   4.3  25  13.9   25  15.5  25   40.1  100.0 15/04/2017
20170416   106  26.7  25  15.8  25    0.0  25   5.1  25  13.7   25  14.8  25   42.3   82.5 16/04/2017
20170417   107  25.4  25  14.7  25    0.0  25   3.8  25  14.4   25  15.8  25   48.7   94.5 17/04/2017
20170418   108  26.4  25  15.0  25    0.0  25   3.7  25  11.0   25  16.6  25   48.2   97.4 18/04/2017
20170419   109  24.9  25  12.6  25    0.5  25   3.7  25  15.2   25  17.3  25   55.0  100.0 19/04/2017
20170420   110  28.3  25   9.4  25    0.1  25   4.1  25  17.4   25  14.4  25   37.4  100.0 20/04/2017
20170421   111  28.5  25  12.0  25    0.0  25   3.4  25  15.7   25  15.2  25   39.1  100.0 21/04/2017
20170422   112  28.5  25  11.9  25    0.0  25   5.2  25  15.2   25  15.6  25   40.1  100.0 22/04/2017
20170423   113  27.1  25  15.3  25    0.0  25   5.0  25  15.4   25  15.3  25   42.7   88.1 23/04/2017
20170424   114  24.8  25  12.0  25    2.3  25   3.8  25  15.6   25  14.6  25   46.7  100.0 24/04/2017
20170425   115  22.9  25  11.7  25    0.0  25   4.1  25  15.2   25  13.0  25   46.6   94.6 25/04/2017
20170426   116  25.3  25   5.7  25    0.0  25   3.5  25  16.5   25  11.0  25   34.1  100.0 26/04/2017
20170427   117  25.4  25   8.8  25    0.0  25   4.5  25  15.9   25  11.5  25   35.5  100.0 27/04/2017
20170428   118  24.5  25   5.7  25    0.0  25   4.6  25  16.9   25   9.9  25   32.2  100.0 28/04/2017
20170429   119  26.0  25   6.0  25    0.0  25   3.6  25  17.1   25   9.1  25   27.1   97.4 29/04/2017
20170430   120  26.1  25   5.8  25    0.0  25   3.8  25  16.2   25   8.8  25   26.0   95.5 30/04/2017
20170501   121  22.2  25  11.0  25    0.0  25   4.2  25  13.9   25  12.3  25   46.0   93.8  1/05/2017
20170502   122  25.1  25   8.2  25    0.0  25   3.9  25  14.4   25  10.1  25   31.7   92.9  2/05/2017
20170503   123  27.7  25  11.0  25    0.0  25   4.9  25  14.8   25  10.0  25   26.9   76.2  3/05/2017
20170504   124  26.5  25   7.8  25    0.0  25   3.2  25   8.9   25   8.5  25   24.6   80.4  4/05/2017
20170505   125  24.7  25  13.6  25    0.1  25   2.7  25  14.9   25  18.6  25   59.8  100.0  5/05/2017
20170506   126  26.4  25   9.2  25    0.2  25   3.4  25  15.6   25  13.7  25   39.8  100.0  6/05/2017
20170507   127  30.2  25   9.4  25    0.0  25   4.3  25  15.9   25  13.7  25   31.9  100.0  7/05/2017
20170508   128  30.1  25   9.7  25    0.0  25   3.9  25  14.3   25   8.9  25   20.9   74.0  8/05/2017
20170509   129  21.6  25  11.9  25    0.0  25   3.5  25   4.7   25  15.9  25   61.7  100.0  9/05/2017
20170510   130  21.7  25   8.6  25    0.0  25   2.6  25   9.4   25  12.1  25   46.6  100.0 10/05/2017
20170511   131  21.1  25  10.1  25    0.0  25   3.4  25  13.6   25  11.9  25   47.6   96.3 11/05/2017
20170512   132  20.4  25   7.3  25    0.0  25   2.1  25   8.0   25  11.8  25   49.3  100.0 12/05/2017
20170513   133  21.9  25   3.2  25    0.0  25   2.9  25  11.7   25   9.2  25   35.0  100.0 13/05/2017
20170514   134  24.8  25  11.0  25    0.0  25   3.1  25   7.6   25  10.3  25   32.9   78.5 14/05/2017
20170515   135  20.3  25  12.8  25    0.2  25   3.0  25   9.4   25  14.0  25   58.8   94.8 15/05/2017
20170516   136  20.3  25  11.1  25    3.1  25   2.1  25  11.3   25  14.0  25   58.8  100.0 16/05/2017
20170517   137  19.3  25   7.1  25    0.0  25   2.9  25  12.1   25  12.7  25   56.8  100.0 17/05/2017
20170518   138  24.4  25   5.8  25    0.0  25   2.8  25  14.3   25  10.8  25   35.3  100.0 18/05/2017
20170519   139  21.8  25   7.8  25    0.2  25   2.3  25   7.2   25  12.6  25   48.3  100.0 19/05/2017
20170520   140  17.2  25   7.8  25    1.5  25   3.1  25   3.7   25  10.9  25   55.6  100.0 20/05/2017
20170521   141  18.0  25  10.6  25    1.8  25   1.3  25   8.3   25  14.7  25   71.3  100.0 21/05/2017
20170522   142  17.8  25   5.7  25    1.9  25   2.0  25  10.2   25  11.4  25   56.0  100.0 22/05/2017
20170523   143  18.4  25   6.9  25    0.1  25   1.5  25   4.6   25  13.6  25   64.3  100.0 23/05/2017
20170524   144  21.4  25   9.0  25    0.0  25   2.0  25  10.8   25  13.8  25   54.2  100.0 24/05/2017
20170525   145  22.8  25   3.7  25    0.0  25   2.6  25  14.0   25  11.3  25   40.7  100.0 25/05/2017
20170526   146  19.3  25   5.5  25    0.0  25   2.3  25  11.1   25  13.2  25   59.0  100.0 26/05/2017
20170527   147  17.6  25   3.3  25    0.1  25   2.5  25  11.6   25  11.0  25   54.7  100.0 27/05/2017
20170528   148  17.7  25   2.2  25    0.0  25   2.1  25  10.8   25   9.9  25   48.9  100.0 28/05/2017
20170529   149  20.0  25   2.1  25    0.0  25   2.6  25  12.2   25   9.5  25   40.6  100.0 29/05/2017
20170530   150  25.1  25   5.2  25    0.0  25   2.8  25  11.0   25   9.9  25   31.1  100.0 30/05/2017
20170531   151  26.8  25   6.8  25    0.0  25   3.1  25  12.2   25  10.0  25   28.4  100.0 31/05/2017
20170601   152  26.1  25   6.4  25    0.0  25   3.0  25  12.0   25   9.9  25   29.3  100.0  1/06/2017
20170602   153  25.3  25   4.1  25    0.0  25   2.1  25  12.6   25  10.9  25   33.8  100.0  2/06/2017
20170603   154  22.8  25   5.9  25    0.0  25   1.8  25   8.6   25  12.2  25   44.0  100.0  3/06/2017
20170604   155  22.6  25   8.1  25    0.0  25   2.5  25  12.9   25  14.2  25   51.8  100.0  4/06/2017
20170605   156  24.8  25   4.7  25    0.0  25   2.8  25  13.0   25  10.9  25   34.8  100.0  5/06/2017
20170606   157  23.6  25   7.2  25    0.0  25   3.7  25  11.9   25   8.3  25   28.5   81.8  6/06/2017
20170607   158  22.1  25  -0.6  25    0.0  25   3.0  25  12.4   25   6.3  25   23.7  100.0  7/06/2017
20170608   159  22.6  25   2.7  25    0.0  25   3.4  25  12.8   25  10.6  25   38.7  100.0  8/06/2017
20170609   160  23.0  25   0.6  25    0.0  25   4.7  25  13.4   25   6.4  25   22.8  100.0  9/06/2017
20170610   161  20.5  25   4.3  25    0.0  25   3.1  25   7.0   25   5.7  25   23.6   68.7 10/06/2017
20170611   162  23.7  25   5.3  25    0.0  25   3.3  25   8.3   25   6.1  25   20.8   68.5 11/06/2017
20170612   163  22.9  25   6.1  25    0.0  25   3.1  25   9.2   25   6.1  25   21.9   64.8 12/06/2017
20170613   164  25.1  25   5.3  25    0.0  25   2.5  25  11.0   25   6.7  25   21.0   75.3 13/06/2017
20170614   165  16.0  25  10.9  25    3.2  25   1.4  25   4.5   25  13.1  25   72.1  100.0 14/06/2017
20170615   166  18.5  25  11.3  25    0.1  25   1.2  25  10.1   25  14.3  25   67.2  100.0 15/06/2017
20170616   167  19.3  25   4.4  25    0.3  25   1.8  25  11.5   25  11.7  25   52.3  100.0 16/06/2017
20170617   168  20.5  25   3.0  25    0.1  25   2.9  25  11.5   25  10.7  25   44.4  100.0 17/06/2017
